Orch,Comp,Weight,Comp.Gen
Buffalo Philharmonic Orchestra,"Hagen, Daron",1,1
Buffalo Philharmonic Orchestra,"Hailstork, Adolphus",1,3
Buffalo Philharmonic Orchestra,"Holland, Jonathan Bailey",1,3
Buffalo Philharmonic Orchestra,"Kodály, Zoltán",2,1
Buffalo Philharmonic Orchestra,"Ludwig, David",1,1
Buffalo Philharmonic Orchestra,"Mahler, Gustav",1,1
Buffalo Philharmonic Orchestra,"Mendelssohn, Felix",3,1
Buffalo Philharmonic Orchestra,"Montgomery, Jessie",1,4
Buffalo Philharmonic Orchestra,"Mozart, Wolfgang Amadeus",1,1
Buffalo Philharmonic Orchestra,"Piazzolla, Astor",1,3
Buffalo Philharmonic Orchestra,"Platt, Russell",1,1
Buffalo Philharmonic Orchestra,"Prokofiev, Sergey",2,1
Buffalo Philharmonic Orchestra,"Rachmaninoff, Sergei",2,1
Buffalo Philharmonic Orchestra,"Ravel, Maurice",1,1
Buffalo Philharmonic Orchestra,"Saint-Saëns, Camille",1,1
Buffalo Philharmonic Orchestra,"Schumann, Robert",1,1
Buffalo Philharmonic Orchestra,"Scriabin, Alexander",1,1
Buffalo Philharmonic Orchestra,"Simon, Carlos",1,3
Buffalo Philharmonic Orchestra,"Strauss, Richard",2,1
Buffalo Philharmonic Orchestra,"Stravinsky, Igor",1,1
Buffalo Philharmonic Orchestra,"Tchaikovsky, Peter Ilich",2,1
Buffalo Philharmonic Orchestra,"Tilson Thomas, Michael",1,1
Buffalo Philharmonic Orchestra,Wang Jie,1,4
Buffalo Philharmonic Orchestra,"Zemlinsky, Alexander",1,1
California Symphony,"Adès, Thomas",1,1
California Symphony,"Balch, Katie",1,2
California Symphony,"Beethoven, Ludwig van",1,1
California Symphony,"Cuong, Viet",1,3
California Symphony,"Debussy, Claude",1,1
California Symphony,"Dvořák, Antonín",1,1
California Symphony,"Elgar, Edward",1,1
California Symphony,"Haydn, Franz Joseph",1,1
California Symphony,"Martines, Marianna",1,2
California Symphony,"Montgomery, Jessie",1,4
California Symphony,"Ravel, Maurice",1,1
California Symphony,"Schubert, Franz",1,1
California Symphony,"Sibelius, Jean",1,1
California Symphony,"Tchaikovsky, Peter Ilich",1,1
California Symphony,"Vaughan Williams, Ralph",2,1
California Symphony,"Vivaldi, Antonio",1,1
California Symphony,"Walker, George",1,3
Cape Symphony,"Beethoven, Ludwig van",4,1
Cape Symphony,"Berko, Alex",1,1
Cape Symphony,"Brahms, Johannes",1,1
Cape Symphony,"Chabrier, Emmanuel",1,1
Cape Symphony,"Charpentier, Marc-Antoine",1,1
Cape Symphony,"Corigliano, John",1,1
Cape Symphony,"Duff, Arthur",1,1
Cape Symphony,"Dvořák, Antonín",1,1
Cape Symphony,"Frescobaldi, Girolamo",1,1
Cape Symphony,"Grainger, Percy",1,1
Cape Symphony,"Harty, Hamilton",1,1
Cape Symphony,"Mozart, Wolfgang Amadeus",1,1
Cape Symphony,"Rossini, Gioachino",1,1
Cape Symphony,"Seóirse, Bodley",1,1
Cape Symphony,"Singer, Tonya Wind",1,6
Cape Symphony,"Tchaikovsky, Peter Ilich",1,1
Cape Symphony,"Vaughan Williams, Ralph",1,1
Cape Symphony,"Wendel, Robert",1,1
Cape Symphony,"Williams, John",1,1
Cape Symphony,"Wineglass, John",1,3
Charleston Symphony Orchestra,"Beethoven, Ludwig van",2,1
Charleston Symphony Orchestra,"Berlioz, Hector",1,1
Charleston Symphony Orchestra,"Brahms, Johannes",1,1
Charleston Symphony Orchestra,"Chopin, Frédéric",1,1
Charleston Symphony Orchestra,"Copland, Aaron",1,1
Charleston Symphony Orchestra,"Hailstork, Adolphus",1,3
Charleston Symphony Orchestra,"Hart, Edward",1,1
Charleston Symphony Orchestra,"Jacob, Gordon",1,1
Charleston Symphony Orchestra,"Mendelssohn, Felix",1,1
Charleston Symphony Orchestra,"Mozart, Wolfgang Amadeus",2,1
Charleston Symphony Orchestra,"Perry, Julia",1,4
Charleston Symphony Orchestra,"Rachmaninoff, Sergei",1,1
Charleston Symphony Orchestra,"Ravel, Maurice",2,1
Charleston Symphony Orchestra,"Rossini, Gioachino",1,1
Charleston Symphony Orchestra,"Saint-Saëns, Camille",1,1
Charleston Symphony Orchestra,"Sibelius, Jean",1,1
Charleston Symphony Orchestra,"Strauss, Richard",2,1
Charleston Symphony Orchestra,"Stravinsky, Igor",1,1
